"ASSAULT","CONSULT","ENGAGE_IN_DIPLOMATIC_COOPERATION","FIGHT","PROVIDE_AID","UNCONVENTIONAL_MASS_VIOLENCE","YIELD","Total_Peace","Total_Violence","Year"
" 1394","26206","10746","25638"," 8587","  110","13541","59080","27142","1979"
" 2096","29255","10048","38637","11210","   70","18985","69498","40803","1980"
" 3846","35879","10405","51591","13067","  124","20164","79515","55561","1981"
" 3316","39189","11439","62216","14426","  743","27074","92128","66275","1982"
"  3729"," 47009"," 11797"," 68857"," 15859","   507"," 27851","102516"," 73093","1983"
"  4013"," 47181"," 15228"," 74518"," 16345","   192"," 28385","107139"," 78723","1984"
"  4279"," 55310"," 17569"," 82746"," 17942","   320"," 33293","124114"," 87345","1985"
"  4760"," 57012"," 18475"," 83186"," 19430","   256"," 33922","128839"," 88202","1986"
"  3699"," 57168"," 25031"," 82602"," 20396","   417"," 36505","139100"," 86718","1987"
"  4000"," 70003"," 26009"," 88387"," 23961","   277"," 44781","164754"," 92664","1988"
"  4112"," 63174"," 19800"," 70760"," 21488","   280"," 40268","144730"," 75152","1989"
"  3194"," 66242"," 19697"," 65894"," 25159","   410"," 46942","158040"," 69498","1990"
"  3636"," 89441"," 35406"," 92751"," 31560","   413"," 63513","219920"," 96800","1991"
"  2705"," 72752"," 32619"," 63364"," 25557","   905"," 37268","168196"," 66974","1992"
"  4692"," 85727"," 34898"," 98990"," 28957","  1657"," 46980","196562","105339","1993"
"  6077","114133"," 49296","121191"," 36983","  2132"," 66053","266465","129400","1994"
"  6811","109546"," 46112","123791"," 35471","  1383"," 62364","253493","131985","1995"
"  8572","173635"," 76246","153467"," 52776","  1809"," 91733","394390","163848","1996"
"  8487","242293"," 98448","162801"," 70569","  2180","104345","515655","173468","1997"
" 10250","262403"," 92248","206039"," 84085","  3093","131527","570263","219382","1998"
" 11845","278599"," 97203","278876"," 98543","  6041","157129","631474","296762","1999"
" 12228","264990"," 85442","262792"," 90902","  2655","153564","594898","277675","2000"
" 18819","279910"," 83222","318949","101773","  2724","157951","622856","340492","2001"
" 16228","239901"," 78659","278784"," 95307","  2224","136831","550698","297236","2002"
" 20678","304634"," 96832","328230","128965","  1840","175853","706284","350748","2003"
" 23287","238969"," 70985","308280","110210","  2740","172112","592276","334307","2004"
" 21113","174719"," 55315","222674"," 87525","  1310","127985","445544","245097","2005"
" 30168","296915"," 94014","458963","175642","  2610","219067","785638","491741","2006"
"  57335"," 494820"," 159741"," 831392"," 339632","   3410"," 412457","1406650"," 892137","2007"
"  57765"," 618687"," 194112","1018214"," 473421","   5466"," 507438","1793658","1081445","2008"
"  82708","1037325"," 349943","1462425"," 769401","   7094"," 843199","2999868","1552227","2009"
"  73769"," 908014"," 318521","1403045"," 798783","   5913"," 822133","2847451","1482727","2010"
"  98603","1078175"," 389147","2164065","1070506","   9437","1226700","3764528","2272105","2011"
"  96527","1277848"," 405821","2368200","1143814","  13351","1219059","4046542","2478078","2012"
" 103605","1372707"," 461160","2308554","1173686","  12151","1256558","4264111","2424310","2013"
" 123033","1661899"," 626912","3494752","1649656","  19357","1745893","5684360","3637142","2014"
"  38359"," 463013"," 176119"," 959301"," 506587","   7250"," 507044","1652763","1004910","2015"
" 206735","2389806"," 965445","5080680","2577905","  30672","2740926","8674082","5318087","2016"
